Timestamp,Variant,Circuit,Verify,Original_Gates,Final_Gates,Removed,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Depth_Before,Depth_After,T_Parse,T_Encode,T_SAT,T_CEC,T_Total,SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,SAT_Unresolved,SAT_Max_Budget,Rebuilds,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,CEX_Audit_Enabled,CEX_Audit_Checked,CEX_Audit_SAT,CEX_Audit_False_Prunes,CEX_Audit_Timeouts,CEX_Audit_Skipped,CEX_Audit_Limit_Hit,Candidate_Order,Window_Enabled,Cone_Enabled,Checkpoint_Resume
2026-05-18_03-29-06,cex_window_deep_current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5375,41,5416,5375,41,225,224,0.0154,10.0492,3614.5912,0.5984,3642.4445,32336,4663,2586,20,2057,TIME_BUDGET_CHECKPOINT,179,100000,2,516,495,19,2,0,1876,1827,1,48,0,0,586,119,0,467,0,1685,145,0,1540,2090,1853365,40218,492,234681,31820,1,0,0,0,0,0,0,0,current,1,1,0
2026-05-18_03-29-06,cex_window_deep_current,benchmark_suites/epfl/epfl_arithmetic_sqrt.aag,PASS,24618,24562,56,24618,24562,56,5058,5058,0.0578,24.0183,2586.8796,1.3638,3600.2347,147508,4787,1580,22,3185,TIME_BUDGET_CHECKPOINT,19747,5000,2,335,335,0,0,436,1894,1195,22,677,54327,0,0,0,0,0,49124,2558,50,0,2508,1245,22228335,120614,335,791332,146737,1,0,0,0,0,0,0,0,current,1,1,0
2026-05-18_03-29-06,cex_window_deep_current,benchmark_suites/epfl/epfl_arithmetic_div.aag,PASS,57247,57014,233,57247,57014,233,4372,4371,0.3054,40.7332,1968.7622,2.2842,3878.4991,799226,3575,1750,82,1743,TIME_BUDGET_CHECKPOINT,21490,5000,6,342,334,8,0,8265,2911,1390,74,1447,31375,0,4,4,0,0,60983,318,22,0,296,1416,25742305,796002,334,4855530,790619,1,0,0,0,0,0,0,0,current,1,1,0
2026-05-18_03-29-06,cex_window_deep_current,benchmark_suites/epfl/epfl_arithmetic_log2.aag,PASS,32060,32037,23,32060,32037,23,444,444,0.0558,55.6764,1308.8061,2.5100,3601.9226,128194,8223,7393,13,817,TIME_BUDGET_CHECKPOINT,19132,5000,1,795,782,13,0,568,6679,6567,0,112,5754,0,0,0,0,0,64074,749,44,0,705,6611,63709459,96539,782,3205336,126831,1,0,0,0,0,0,0,0,current,1,1,0
2026-05-18_03-29-06,cex_window_deep_current,benchmark_suites/epfl/epfl_random_control_mem_ctrl.aag,PASS,46836,46761,75,46836,46761,75,114,114,0.0929,0.7062,148.7405,0.4611,3601.9240,187340,7389,7352,35,2,TIME_BUDGET_CHECKPOINT,48193,2000,1,5935,5934,1,0,0,1454,1418,34,2,2,0,0,0,0,0,0,0,0,0,0,1418,91521611,44017,5932,52869540,181405,1,0,0,0,0,0,0,0,current,1,1,0
