Circuit,Type,Run_Mode,Dataset_Profile,Original_Gates,Final_Gates,Gates_Removed,Total_Red%,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Area_Red%,Depth_Before,Depth_After,Depth_Red%,T_Parse(s),T_Filter(s),T_Encode(s),T_SAT(s),T_CEC(s),T_Total(s),SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,Initial_AND2,After_Structural_AND2,After_SAT_AND2,Structural_Removed_AND2,SAT_Induced_Removed_AND2,SAT_Accepted_SA0,SAT_Accepted_SA1,Rebuilds,SAT_Unresolved,SAT_Max_Budget,Checkpoint_Resume,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,Verify
epfl_epfl_random_control_cavlc.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,693,693,0,0.00%,693,693,0,0.00%,16,16,0.00%,0.0007,0.0000,0.0191,0.5295,0.0209,0.7191,1386,375,368,0,7,,693,693,693,0,0,0,0,0,0,1000,1,44,44,0,0,0,116,116,0,0,0,0,103,103,0,0,0,112,105,0,7,321,92592,3834,43,5138,1342,1,PASS
epfl_epfl_random_control_ctrl.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,174,174,0,0.00%,174,174,0,0.00%,10,10,0.00%,0.0002,0.0000,0.0014,0.0174,0.0212,0.0310,348,94,94,0,0,,174,174,174,0,0,0,0,0,0,1000,1,20,20,0,0,0,26,26,0,0,0,0,24,24,0,0,0,24,24,0,0,71,6768,970,19,1152,328,1,PASS
epfl_epfl_random_control_dec.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,304,304,0,0.00%,304,304,0,0.00%,3,3,0.00%,0.0006,0.0000,0.0068,0.5342,0.0217,0.6941,608,1024,1024,0,0,,304,304,304,0,0,0,0,0,0,1000,1,256,256,0,0,0,256,256,0,0,0,0,256,256,0,0,0,256,256,0,0,765,106220,1056,255,35290,352,1,PASS
epfl_epfl_random_control_i2c.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,1342,1342,0,0.00%,1342,1342,0,0.00%,20,20,0.00%,0.0018,0.0000,0.0321,0.8045,0.0224,1.9394,2684,1034,1025,0,9,,1342,1342,1342,0,0,0,0,0,0,1000,1,228,228,0,0,0,322,322,0,0,0,0,303,303,0,0,0,181,172,0,9,794,427262,7255,227,84516,2456,1,PASS
epfl_epfl_random_control_int2float.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,260,260,0,0.00%,260,260,0,0.00%,16,16,0.00%,0.0003,0.0000,0.0051,0.0518,0.0221,0.0902,520,192,191,0,1,,260,260,260,0,0,0,0,0,0,1000,1,31,31,0,0,0,64,64,0,0,0,0,47,47,0,0,0,50,49,0,1,158,22192,1400,30,1992,489,1,PASS
epfl_epfl_random_control_mem_ctrl.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,46836,46834,2,0.00%,46836,46834,2,0.00%,114,114,0.00%,0.0542,0.0000,0.0000,59.9081,0.0893,60.2411,93672,2279,2278,1,0,TIME_BUDGET_CHECKPOINT,46836,46836,46834,0,2,1,0,0,2191,500,1,2279,2278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,25768652,89202,1,PASS
epfl_epfl_random_control_priority.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,978,978,0,0.00%,978,978,0,0.00%,250,250,0.00%,0.0010,0.0000,0.0759,1.4664,0.0229,1.8048,1956,599,551,0,48,,978,978,978,0,0,0,0,0,0,1000,1,180,180,0,0,0,156,154,0,2,0,0,102,101,0,1,0,161,116,0,45,368,81861,5494,180,22561,1776,1,PASS
epfl_epfl_random_control_router.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,257,251,6,2.33%,257,251,6,2.33%,54,53,1.85%,0.0003,0.0000,0.0336,0.1118,0.0285,0.2178,502,359,359,0,0,,257,251,251,6,0,0,0,0,0,1000,1,75,75,0,0,0,191,191,0,0,0,0,47,47,0,0,0,46,46,0,0,284,38354,1222,74,4821,427,1,PASS
epfl_epfl_random_control_voter.aag,EPFL,alg10_fast_save_cex_window,real_suites_planted,13758,13758,0,0.00%,13758,13758,0,0.00%,70,70,0.00%,0.0151,0.0000,0.0287,18.4036,0.0356,60.1888,27516,2930,2930,0,0,TIME_BUDGET_CHECKPOINT,13758,13758,13758,0,0,0,0,0,27347,500,1,2791,2791,0,0,312,139,139,0,0,2,0,0,0,0,0,0,0,0,0,0,139,3810852,28,2791,17266309,24413,1,PASS
planted_live_c1355.aag,Planted_Live,alg10_fast_save_cex_window,real_suites_planted,512,508,4,0.78%,512,508,4,0.78%,22,20,9.09%,0.0005,0.0000,0.0728,0.6874,0.0283,0.8706,1016,342,295,0,47,,512,508,508,4,0,0,0,0,0,1000,1,63,63,0,0,0,126,106,0,20,0,0,73,62,0,11,0,80,64,0,16,230,32955,2785,63,8618,953,1,PASS
planted_live_c17.aag,Planted_Live,alg10_fast_save_cex_window,real_suites_planted,10,6,4,40.00%,10,6,4,40.00%,5,3,40.00%,0.0001,0.0000,0.0001,0.0006,0.0281,0.0031,12,18,18,0,0,,10,6,6,4,0,0,0,0,0,1000,1,5,5,0,0,0,4,4,0,0,0,0,4,4,0,0,0,5,5,0,0,10,58,23,4,19,7,1,PASS
planted_live_c432.aag,Planted_Live,alg10_fast_save_cex_window,real_suites_planted,129,121,8,6.20%,129,121,8,6.20%,25,25,0.00%,0.0003,0.0000,0.0057,0.0487,0.0273,0.0676,242,113,110,0,3,,129,121,121,8,0,0,0,0,0,1000,1,32,32,0,0,0,25,25,0,0,0,0,29,29,0,0,0,27,24,0,3,77,4691,648,31,1005,210,1,PASS
planted_live_c880.aag,Planted_Live,alg10_fast_save_cex_window,real_suites_planted,329,325,4,1.22%,329,325,4,1.22%,27,27,0.00%,0.0005,0.0000,0.0146,0.1563,0.0283,0.2371,650,306,297,0,9,,329,325,325,4,0,0,0,0,0,1000,1,83,83,0,0,0,93,93,0,0,0,0,77,77,0,0,0,53,44,0,9,211,39877,1736,82,9254,567,1,PASS
planted_live_epfl_random_control_router.aag,Planted_Live,alg10_fast_save_cex_window,real_suites_planted,261,251,10,3.83%,261,251,10,3.83%,56,53,5.36%,0.0003,0.0000,0.0341,0.1122,0.0282,0.2189,502,359,359,0,0,,261,251,251,10,0,0,0,0,0,1000,1,75,75,0,0,0,191,191,0,0,0,0,47,47,0,0,0,46,46,0,0,284,38354,1222,74,4821,427,1,PASS
