Timestamp,Variant,Circuit,Verify,Original_Gates,Final_Gates,Removed,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Depth_Before,Depth_After,T_Parse,T_Encode,T_SAT,T_CEC,T_Total,SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,SAT_Unresolved,SAT_Max_Budget,Rebuilds,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,Candidate_Order,Window_Enabled,Cone_Enabled,Checkpoint_Resume
2026-05-17_19-22-44,current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5385,31,5416,5385,31,225,224,0.0054,0.0000,19.9850,0.5307,20.0263,10832,6201,6182,15,4,TIME_BUDGET_CHECKPOINT,4616,500,0,6201,6182,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,current,0,1,0
2026-05-17_19-22-44,cex_current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5377,39,5416,5377,39,225,224,0.0080,1.7209,16.8936,0.5713,20.0146,21586,563,359,19,185,TIME_BUDGET_CHECKPOINT,1953,1000,1,354,325,19,10,0,0,0,0,0,0,0,209,34,0,175,0,0,0,0,0,34,118319,8592,323,148621,21232,1,current,0,1,0
2026-05-17_19-22-44,window_current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5385,31,5416,5385,31,225,224,0.0053,0.0000,19.9848,0.5141,20.0213,10832,6198,6179,15,4,TIME_BUDGET_CHECKPOINT,4619,500,0,6198,6179,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,current,1,1,0
2026-05-17_19-22-44,cex_window_current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5377,39,5416,5377,39,225,224,0.0081,2.9168,11.1563,0.5446,20.0219,21586,1228,1065,19,144,TIME_BUDGET_CHECKPOINT,17,500,1,354,325,19,10,0,874,740,0,134,0,0,0,0,0,0,0,0,0,0,0,740,650024,9863,323,148621,21232,1,current,1,1,0
2026-05-17_19-22-44,global_only_cex_current,benchmark_suites/epfl/epfl_arithmetic_sin.aag,PASS,5416,5416,0,5416,5416,0,225,225,0.0057,0.0159,19.9704,0.0259,20.0269,10832,589,27,0,562,TIME_BUDGET_CHECKPOINT,2014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,27,0,562,27,102627,8791,0,0,0,1,current,0,0,0
