Timestamp,Variant,Circuit,Verify,Original_Gates,Final_Gates,Removed,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Depth_Before,Depth_After,T_Parse,T_Encode,T_SAT,T_CEC,T_Total,SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,SAT_Unresolved,SAT_Max_Budget,Rebuilds,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,Candidate_Order,Window_Enabled,Cone_Enabled,Checkpoint_Resume
2026-05-17_19-27-31,current,benchmarks/c432.aag,PASS,125,121,4,125,121,4,25,25,0.0003,0.0674,0.5333,0.0290,0.6342,492,1227,1222,2,3,,0,1000,1,492,492,0,0,0,0,0,0,0,0,0,490,488,2,0,0,245,242,0,3,0,0,0,0,0,0,0,current,0,1,0
2026-05-17_19-27-31,cex_current,benchmarks/c432.aag,PASS,125,121,4,125,121,4,25,25,0.0003,0.0096,0.0795,0.0278,0.1064,492,156,151,2,3,,0,1000,1,64,64,0,0,0,0,0,0,0,0,0,65,63,2,0,0,27,24,0,3,86,5012,645,62,2026,428,1,current,0,1,0
2026-05-17_19-27-31,global_only_cex_current,benchmarks/c432.aag,PASS,125,121,4,125,121,4,25,25,0.0003,0.0006,0.0311,0.0285,0.0351,492,60,52,2,6,,0,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,52,2,6,51,3652,438,0,0,0,1,current,0,0,0
