Timestamp,Variant,Circuit,Verify,Original_Gates,Final_Gates,Removed,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Depth_Before,Depth_After,T_Parse,T_Encode,T_SAT,T_CEC,T_Total,SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,SAT_Unresolved,SAT_Max_Budget,Rebuilds,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_Pruning_Enabled,Candidate_Order,Window_Enabled,Cone_Enabled,Checkpoint_Resume
2026-05-17_19-20-11,current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0022,2.8208,16.2922,0.0217,20.0055,3740,4974,4820,0,154,TIME_BUDGET_CHECKPOINT,2506,1000,0,3740,3740,0,0,0,0,0,0,0,0,0,1234,1080,0,154,0,0,0,0,0,0,0,0,0,current,0,1,0
2026-05-17_19-20-11,cex_current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0022,0.0731,4.6275,0.0222,4.8258,3740,3857,3800,0,57,,0,5000,0,3740,3740,0,0,0,0,0,0,0,0,0,39,32,0,7,0,78,28,0,50,59,38204,7413,1,current,0,1,0
2026-05-17_19-20-11,global_only_current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0019,0.0069,20.0402,0.0229,20.0607,3740,1388,653,0,735,TIME_BUDGET_CHECKPOINT,3087,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,653,0,735,0,0,0,0,current,0,0,0
2026-05-17_19-20-11,global_only_cex_current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0019,0.0037,1.6265,0.0214,1.6432,3740,78,28,0,50,,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,28,0,50,28,12988,3712,1,current,0,0,0
