Circuit_Short,Removed,CEX_Audit_Checked,CEX_Audit_SAT,CEX_Audit_False_Prunes,CEX_Audit_Timeouts,CEX_Audit_Skipped,T_Total
c7552,14,5263,5263,0,0,0,120.0825
sqrt,0,6955,6923,0,32,0,4552.19
