Timestamp,Variant,Circuit,Verify,Original_Gates,Final_Gates,Removed,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Depth_Before,Depth_After,T_Parse,T_Encode,T_SAT,T_CEC,T_Total,SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,SAT_Unresolved,SAT_Max_Budget,Rebuilds,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,Candidate_Order,Window_Enabled,Cone_Enabled,Checkpoint_Resume
2026-05-17_19-24-37,current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0020,2.8436,16.2777,0.0221,20.0116,3740,4975,4821,0,154,TIME_BUDGET_CHECKPOINT,2505,1000,0,3740,3740,0,0,0,0,0,0,0,0,0,1235,1081,0,154,0,0,0,0,0,0,0,0,0,0,0,0,current,0,1,0
2026-05-17_19-24-37,cex_current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0021,0.0754,2.4594,0.0239,2.6574,3740,336,279,0,57,,0,5000,0,219,219,0,0,0,0,0,0,0,0,0,39,32,0,7,0,78,28,0,50,59,38204,7413,218,96647,3521,1,current,0,1,0
2026-05-17_19-24-37,global_only_cex_current,benchmarks/c6288.aag,PASS,1870,1870,0,1870,1870,0,89,89,0.0051,0.0039,1.6874,0.0230,1.7077,3740,78,28,0,50,,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,28,0,50,28,12988,3712,0,0,0,1,current,0,0,0
