Circuit,Solver,Wire_ID,Time_Sec,Status,Method
c5315.aag,glucose4,1420,0.000001,UNSAT (REDUNDANT),PYSAT
c5315.aag,glucose4,378,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1534,0.000001,UNSAT (REDUNDANT),PYSAT
c5315.aag,glucose4,951,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1709,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1192,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1710,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1573,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1547,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1711,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1712,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1713,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1631,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1459,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1397,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1224,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1714,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1715,0.000001,SAT,SIMULATION
c5315.aag,glucose4,149,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1716,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1276,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1548,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1668,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1144,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1717,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1183,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1656,0.000001,UNSAT (REDUNDANT),PYSAT
c5315.aag,glucose4,1566,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1111,0.000001,SAT,SIMULATION
c5315.aag,glucose4,1659,0.000001,SAT,SIMULATION
c5315.aag,glucose4,147,0.000001,SAT,SIMULATION
