Circuit,Solver,Wire_ID,Time_Sec,Status,Label
arbiter_8bit.aag,g3,10,0.000112,UNSAT,0
arbiter_8bit.aag,g3,15,0.000008,UNSAT,0
arbiter_8bit.aag,g3,22,0.000003,UNSAT,0
arbiter_8bit.aag,g3,19,0.000002,UNSAT,0
arbiter_8bit.aag,g3,18,0.000002,UNSAT,0
arbiter_8bit.aag,g3,20,0.000001,UNSAT,0
arbiter_8bit.aag,g3,23,0.000001,UNSAT,0
arbiter_8bit.aag,g3,17,0.000002,UNSAT,0
arbiter_8bit.aag,g4,10,0.000006,UNSAT,0
arbiter_8bit.aag,g4,15,0.000003,UNSAT,0
arbiter_8bit.aag,g4,22,0.000001,UNSAT,0
arbiter_8bit.aag,g4,19,0.000001,UNSAT,0
arbiter_8bit.aag,g4,18,0.000001,UNSAT,0
arbiter_8bit.aag,g4,20,0.000001,UNSAT,0
arbiter_8bit.aag,g4,23,0.000001,UNSAT,0
arbiter_8bit.aag,g4,17,0.000001,UNSAT,0
arbiter_8bit.aag,m22,10,0.000005,UNSAT,0
arbiter_8bit.aag,m22,15,0.000002,UNSAT,0
arbiter_8bit.aag,m22,22,0.000001,UNSAT,0
arbiter_8bit.aag,m22,19,0.000001,UNSAT,0
arbiter_8bit.aag,m22,18,0.000001,UNSAT,0
arbiter_8bit.aag,m22,20,0.000001,UNSAT,0
arbiter_8bit.aag,m22,23,0.000001,UNSAT,0
arbiter_8bit.aag,m22,17,0.000001,UNSAT,0
arbiter_8bit.aag,maplechrono,10,0.000007,UNSAT,0
arbiter_8bit.aag,maplechrono,15,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,22,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,19,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,18,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,20,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,23,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,17,0.000002,UNSAT,0
c499.aag,g3,550,0.000046,SAT,1
c499.aag,g3,551,0.000020,SAT,1
c499.aag,g3,552,0.000015,SAT,1
c499.aag,g3,553,0.000013,SAT,1
c499.aag,g3,554,0.000013,SAT,1
c499.aag,g3,555,0.000013,SAT,1
c499.aag,g3,556,0.000013,SAT,1
