Circuit,Solver,Wire_ID,Time_Sec,Status,Label
arbiter_8bit.aag,g3,3,0.000110,UNSAT,0
arbiter_8bit.aag,g3,15,0.000010,UNSAT,0
arbiter_8bit.aag,g3,6,0.000003,UNSAT,0
arbiter_8bit.aag,g3,22,0.000002,UNSAT,0
arbiter_8bit.aag,g3,23,0.000002,UNSAT,0
arbiter_8bit.aag,g3,5,0.000002,UNSAT,0
arbiter_8bit.aag,g3,21,0.000002,UNSAT,0
arbiter_8bit.aag,g3,17,0.000002,UNSAT,0
arbiter_8bit.aag,m22,3,0.000006,UNSAT,0
arbiter_8bit.aag,m22,15,0.000003,UNSAT,0
arbiter_8bit.aag,m22,6,0.000002,UNSAT,0
arbiter_8bit.aag,m22,22,0.000002,UNSAT,0
arbiter_8bit.aag,m22,23,0.000002,UNSAT,0
arbiter_8bit.aag,m22,5,0.000002,UNSAT,0
arbiter_8bit.aag,m22,21,0.000002,UNSAT,0
arbiter_8bit.aag,m22,17,0.000001,UNSAT,0
alu_8bit.aag,g3,244,0.000004,UNSAT,0
alu_8bit.aag,g3,245,0.000002,UNSAT,0
alu_8bit.aag,g3,246,0.000001,UNSAT,0
alu_8bit.aag,g3,134,0.000001,UNSAT,0
alu_8bit.aag,g3,243,0.000001,UNSAT,0
alu_8bit.aag,g3,247,0.000001,UNSAT,0
alu_8bit.aag,g3,248,0.000001,UNSAT,0
alu_8bit.aag,g3,249,0.000001,UNSAT,0
alu_8bit.aag,g3,250,0.000001,UNSAT,0
alu_8bit.aag,m22,244,0.000003,UNSAT,0
alu_8bit.aag,m22,245,0.000002,UNSAT,0
alu_8bit.aag,m22,246,0.000002,UNSAT,0
alu_8bit.aag,m22,134,0.000002,UNSAT,0
alu_8bit.aag,m22,243,0.000001,UNSAT,0
alu_8bit.aag,m22,247,0.000001,UNSAT,0
alu_8bit.aag,m22,248,0.000002,UNSAT,0
alu_8bit.aag,m22,249,0.000001,UNSAT,0
alu_8bit.aag,m22,250,0.000001,UNSAT,0
c17.aag,g3,12,0.000015,SAT,1
c17.aag,g3,13,0.000006,SAT,1
c17.aag,m22,12,0.000010,SAT,1
c17.aag,m22,13,0.000003,SAT,1
