Circuit,Solver,Wire_ID,Time_Sec,Status,Label
arbiter_8bit.aag,g3,21,0.000014,UNSAT,0
arbiter_8bit.aag,g3,9,0.000006,UNSAT,0
arbiter_8bit.aag,g3,20,0.000003,UNSAT,0
arbiter_8bit.aag,g3,18,0.000002,UNSAT,0
arbiter_8bit.aag,g3,23,0.000002,UNSAT,0
arbiter_8bit.aag,g3,13,0.000001,UNSAT,0
arbiter_8bit.aag,g3,19,0.000001,UNSAT,0
arbiter_8bit.aag,g3,14,0.000002,UNSAT,0
arbiter_8bit.aag,g4,21,0.000006,UNSAT,0
arbiter_8bit.aag,g4,9,0.000002,UNSAT,0
arbiter_8bit.aag,g4,20,0.000002,UNSAT,0
arbiter_8bit.aag,g4,18,0.000001,UNSAT,0
arbiter_8bit.aag,g4,23,0.000002,UNSAT,0
arbiter_8bit.aag,g4,13,0.000003,UNSAT,0
arbiter_8bit.aag,g4,19,0.000006,UNSAT,0
arbiter_8bit.aag,g4,14,0.000008,UNSAT,0
arbiter_8bit.aag,m22,21,0.000006,UNSAT,0
arbiter_8bit.aag,m22,9,0.000002,UNSAT,0
arbiter_8bit.aag,m22,20,0.000002,UNSAT,0
arbiter_8bit.aag,m22,18,0.000001,UNSAT,0
arbiter_8bit.aag,m22,23,0.000001,UNSAT,0
arbiter_8bit.aag,m22,13,0.000001,UNSAT,0
arbiter_8bit.aag,m22,19,0.000001,UNSAT,0
arbiter_8bit.aag,m22,14,0.000001,UNSAT,0
arbiter_8bit.aag,maplechrono,21,0.000012,UNSAT,0
arbiter_8bit.aag,maplechrono,9,0.000006,UNSAT,0
arbiter_8bit.aag,maplechrono,20,0.000005,UNSAT,0
arbiter_8bit.aag,maplechrono,18,0.000009,UNSAT,0
arbiter_8bit.aag,maplechrono,23,0.000006,UNSAT,0
arbiter_8bit.aag,maplechrono,13,0.000004,UNSAT,0
arbiter_8bit.aag,maplechrono,19,0.000007,UNSAT,0
arbiter_8bit.aag,maplechrono,14,0.000009,UNSAT,0
alu_8bit.aag,g3,244,0.000009,UNSAT,0
alu_8bit.aag,g3,98,0.000002,UNSAT,0
alu_8bit.aag,g3,245,0.000002,UNSAT,0
alu_8bit.aag,g3,246,0.000001,UNSAT,0
alu_8bit.aag,g3,243,0.000002,UNSAT,0
alu_8bit.aag,g3,247,0.000001,UNSAT,0
alu_8bit.aag,g3,248,0.000001,UNSAT,0
alu_8bit.aag,g3,249,0.000001,UNSAT,0
alu_8bit.aag,g3,250,0.000001,UNSAT,0
alu_8bit.aag,g4,244,0.000007,UNSAT,0
alu_8bit.aag,g4,98,0.000004,UNSAT,0
alu_8bit.aag,g4,245,0.000003,UNSAT,0
alu_8bit.aag,g4,246,0.000003,UNSAT,0
alu_8bit.aag,g4,243,0.000003,UNSAT,0
alu_8bit.aag,g4,247,0.000002,UNSAT,0
alu_8bit.aag,g4,248,0.000002,UNSAT,0
alu_8bit.aag,g4,249,0.000002,UNSAT,0
alu_8bit.aag,g4,250,0.000002,UNSAT,0
alu_8bit.aag,m22,244,0.000008,UNSAT,0
alu_8bit.aag,m22,98,0.000003,UNSAT,0
alu_8bit.aag,m22,245,0.000003,UNSAT,0
alu_8bit.aag,m22,246,0.000003,UNSAT,0
alu_8bit.aag,m22,243,0.000002,UNSAT,0
alu_8bit.aag,m22,247,0.000003,UNSAT,0
alu_8bit.aag,m22,248,0.000002,UNSAT,0
alu_8bit.aag,m22,249,0.000002,UNSAT,0
alu_8bit.aag,m22,250,0.000002,UNSAT,0
alu_8bit.aag,maplechrono,244,0.000011,UNSAT,0
alu_8bit.aag,maplechrono,98,0.000007,UNSAT,0
alu_8bit.aag,maplechrono,245,0.000005,UNSAT,0
alu_8bit.aag,maplechrono,246,0.000005,UNSAT,0
alu_8bit.aag,maplechrono,243,0.000005,UNSAT,0
alu_8bit.aag,maplechrono,247,0.000005,UNSAT,0
alu_8bit.aag,maplechrono,248,0.000003,UNSAT,0
alu_8bit.aag,maplechrono,249,0.000004,UNSAT,0
alu_8bit.aag,maplechrono,250,0.000003,UNSAT,0
c17.aag,g3,12,0.000018,SAT,1
c17.aag,g3,13,0.000005,SAT,1
c17.aag,g4,12,0.000107,SAT,1
c17.aag,g4,13,0.000010,SAT,1
c17.aag,m22,12,0.000015,SAT,1
c17.aag,m22,13,0.000005,SAT,1
c17.aag,maplechrono,12,0.000012,SAT,1
c17.aag,maplechrono,13,0.000004,SAT,1
