Circuit,Solver,Wire_ID,Time_Sec,Status,Label
arbiter_8bit.aag,g3,17,0.000011,UNSAT,0
arbiter_8bit.aag,g3,16,0.000004,UNSAT,0
arbiter_8bit.aag,g3,23,0.000002,UNSAT,0
arbiter_8bit.aag,g3,10,0.000002,UNSAT,0
arbiter_8bit.aag,g3,18,0.000002,UNSAT,0
arbiter_8bit.aag,g3,20,0.000001,UNSAT,0
arbiter_8bit.aag,g3,22,0.000001,UNSAT,0
arbiter_8bit.aag,g3,15,0.000001,UNSAT,0
arbiter_8bit.aag,g4,17,0.000005,UNSAT,0
arbiter_8bit.aag,g4,16,0.000002,UNSAT,0
arbiter_8bit.aag,g4,23,0.000002,UNSAT,0
arbiter_8bit.aag,g4,10,0.000001,UNSAT,0
arbiter_8bit.aag,g4,18,0.000025,UNSAT,0
arbiter_8bit.aag,g4,20,0.000004,UNSAT,0
arbiter_8bit.aag,g4,22,0.000002,UNSAT,0
arbiter_8bit.aag,g4,15,0.000001,UNSAT,0
arbiter_8bit.aag,m22,17,0.000007,UNSAT,0
arbiter_8bit.aag,m22,16,0.000004,UNSAT,0
arbiter_8bit.aag,m22,23,0.000003,UNSAT,0
arbiter_8bit.aag,m22,10,0.000003,UNSAT,0
arbiter_8bit.aag,m22,18,0.000003,UNSAT,0
arbiter_8bit.aag,m22,20,0.000002,UNSAT,0
arbiter_8bit.aag,m22,22,0.000002,UNSAT,0
arbiter_8bit.aag,m22,15,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,17,0.000008,UNSAT,0
arbiter_8bit.aag,maplechrono,16,0.000004,UNSAT,0
arbiter_8bit.aag,maplechrono,23,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,10,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,18,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,20,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,22,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,15,0.000002,UNSAT,0
c499.aag,g3,550,0.000047,SAT,1
c499.aag,g3,551,0.000021,SAT,1
c499.aag,g3,552,0.000015,SAT,1
c499.aag,g3,553,0.000014,SAT,1
c499.aag,g3,554,0.000014,SAT,1
c499.aag,g3,555,0.000013,SAT,1
c499.aag,g3,556,0.000013,SAT,1
c499.aag,g3,557,0.000013,SAT,1
c499.aag,g3,558,0.000013,SAT,1
c499.aag,g3,559,0.000013,SAT,1
c499.aag,g3,560,0.000015,SAT,1
c499.aag,g3,561,0.000014,SAT,1
c499.aag,g3,562,0.000014,SAT,1
c499.aag,g3,563,0.000014,SAT,1
c499.aag,g3,564,0.000014,SAT,1
c499.aag,g3,565,0.000014,SAT,1
c499.aag,g3,566,0.000018,SAT,1
c499.aag,g3,567,0.000016,SAT,1
c499.aag,g3,568,0.000014,SAT,1
c499.aag,g3,569,0.000014,SAT,1
c499.aag,g3,570,0.000013,SAT,1
c499.aag,g3,571,0.000014,SAT,1
c499.aag,g3,572,0.000014,SAT,1
c499.aag,g3,573,0.000014,SAT,1
c499.aag,g3,574,0.000039,SAT,1
c499.aag,g3,575,0.000025,SAT,1
c499.aag,g3,576,0.000016,SAT,1
c499.aag,g3,577,0.000015,SAT,1
c499.aag,g3,578,0.000016,SAT,1
c499.aag,g3,579,0.000014,SAT,1
c499.aag,g3,580,0.000016,SAT,1
c499.aag,g3,581,0.000015,SAT,1
c499.aag,g4,550,0.000043,SAT,1
c499.aag,g4,551,0.000020,SAT,1
c499.aag,g4,552,0.000015,SAT,1
c499.aag,g4,553,0.000013,SAT,1
c499.aag,g4,554,0.000012,SAT,1
c499.aag,g4,555,0.000015,SAT,1
c499.aag,g4,556,0.000015,SAT,1
c499.aag,g4,557,0.000015,SAT,1
c499.aag,g4,558,0.000015,SAT,1
c499.aag,g4,559,0.000014,SAT,1
c499.aag,g4,560,0.000015,SAT,1
c499.aag,g4,561,0.000015,SAT,1
c499.aag,g4,562,0.000015,SAT,1
c499.aag,g4,563,0.000015,SAT,1
c499.aag,g4,564,0.000016,SAT,1
c499.aag,g4,565,0.000015,SAT,1
c499.aag,g4,566,0.000020,SAT,1
c499.aag,g4,567,0.000017,SAT,1
c499.aag,g4,568,0.000015,SAT,1
c499.aag,g4,569,0.000015,SAT,1
c499.aag,g4,570,0.000015,SAT,1
c499.aag,g4,571,0.000015,SAT,1
c499.aag,g4,572,0.000015,SAT,1
c499.aag,g4,573,0.000015,SAT,1
c499.aag,g4,574,0.000016,SAT,1
c499.aag,g4,575,0.000015,SAT,1
c499.aag,g4,576,0.000015,SAT,1
c499.aag,g4,577,0.000015,SAT,1
c499.aag,g4,578,0.000017,SAT,1
c499.aag,g4,579,0.000016,SAT,1
c499.aag,g4,580,0.000018,SAT,1
c499.aag,g4,581,0.000015,SAT,1
c499.aag,m22,550,0.000041,SAT,1
c499.aag,m22,551,0.000018,SAT,1
c499.aag,m22,552,0.000014,SAT,1
c499.aag,m22,553,0.000016,SAT,1
c499.aag,m22,554,0.000021,SAT,1
c499.aag,m22,555,0.000022,SAT,1
c499.aag,m22,556,0.000019,SAT,1
c499.aag,m22,557,0.000013,SAT,1
c499.aag,m22,558,0.000011,SAT,1
c499.aag,m22,559,0.000011,SAT,1
c499.aag,m22,560,0.000012,SAT,1
c499.aag,m22,561,0.000012,SAT,1
c499.aag,m22,562,0.000012,SAT,1
c499.aag,m22,563,0.000012,SAT,1
c499.aag,m22,564,0.000013,SAT,1
c499.aag,m22,565,0.000012,SAT,1
c499.aag,m22,566,0.000012,SAT,1
c499.aag,m22,567,0.000015,SAT,1
c499.aag,m22,568,0.000014,SAT,1
c499.aag,m22,569,0.000012,SAT,1
c499.aag,m22,570,0.000012,SAT,1
c499.aag,m22,571,0.000011,SAT,1
c499.aag,m22,572,0.000011,SAT,1
c499.aag,m22,573,0.000012,SAT,1
c499.aag,m22,574,0.000013,SAT,1
c499.aag,m22,575,0.000012,SAT,1
c499.aag,m22,576,0.000041,SAT,1
c499.aag,m22,577,0.000018,SAT,1
c499.aag,m22,578,0.000013,SAT,1
c499.aag,m22,579,0.000011,SAT,1
c499.aag,m22,580,0.000015,SAT,1
c499.aag,m22,581,0.000013,SAT,1
c499.aag,maplechrono,550,0.000048,SAT,1
c499.aag,maplechrono,551,0.000020,SAT,1
c499.aag,maplechrono,552,0.000015,SAT,1
c499.aag,maplechrono,553,0.000014,SAT,1
c499.aag,maplechrono,554,0.000013,SAT,1
c499.aag,maplechrono,555,0.000013,SAT,1
c499.aag,maplechrono,556,0.000013,SAT,1
c499.aag,maplechrono,557,0.000013,SAT,1
c499.aag,maplechrono,558,0.000013,SAT,1
c499.aag,maplechrono,559,0.000013,SAT,1
c499.aag,maplechrono,560,0.000014,SAT,1
c499.aag,maplechrono,561,0.000014,SAT,1
c499.aag,maplechrono,562,0.000014,SAT,1
c499.aag,maplechrono,563,0.000014,SAT,1
c499.aag,maplechrono,564,0.000016,SAT,1
c499.aag,maplechrono,565,0.000014,SAT,1
c499.aag,maplechrono,566,0.000019,SAT,1
c499.aag,maplechrono,567,0.000016,SAT,1
c499.aag,maplechrono,568,0.000014,SAT,1
c499.aag,maplechrono,569,0.000014,SAT,1
c499.aag,maplechrono,570,0.000014,SAT,1
c499.aag,maplechrono,571,0.000014,SAT,1
c499.aag,maplechrono,572,0.000014,SAT,1
c499.aag,maplechrono,573,0.000014,SAT,1
c499.aag,maplechrono,574,0.000015,SAT,1
c499.aag,maplechrono,575,0.000014,SAT,1
c499.aag,maplechrono,576,0.000014,SAT,1
c499.aag,maplechrono,577,0.000014,SAT,1
c499.aag,maplechrono,578,0.000016,SAT,1
c499.aag,maplechrono,579,0.000014,SAT,1
c499.aag,maplechrono,580,0.000017,SAT,1
c499.aag,maplechrono,581,0.000015,SAT,1
c5315.aag,g3,1685,0.000009,UNSAT,0
c5315.aag,g3,1247,0.000002,UNSAT,0
c5315.aag,g3,382,0.000002,UNSAT,0
c5315.aag,g3,1287,0.000001,UNSAT,0
c5315.aag,g3,1648,0.000001,UNSAT,0
c5315.aag,g3,1686,0.000001,UNSAT,0
c5315.aag,g3,1687,0.000001,UNSAT,0
c5315.aag,g3,1688,0.000001,UNSAT,0
c5315.aag,g3,359,0.000001,UNSAT,0
