Circuit,Solver,Wire_ID,Time_Sec,Status,Label,MUS_Size
c499.aag,glucose3,550,0.000060,SAT,1,0
c499.aag,glucose3,551,0.000027,SAT,1,0
c499.aag,glucose3,552,0.000021,SAT,1,0
c499.aag,glucose3,553,0.000019,SAT,1,0
c499.aag,glucose3,554,0.000019,SAT,1,0
c499.aag,glucose3,555,0.000018,SAT,1,0
c499.aag,glucose3,556,0.000019,SAT,1,0
c499.aag,glucose3,557,0.000021,SAT,1,0
c499.aag,glucose3,558,0.000020,SAT,1,0
c499.aag,glucose3,559,0.000017,SAT,1,0
c499.aag,glucose3,560,0.000019,SAT,1,0
c499.aag,glucose3,561,0.000018,SAT,1,0
c499.aag,glucose3,562,0.000018,SAT,1,0
c499.aag,glucose3,563,0.000020,SAT,1,0
c499.aag,glucose3,564,0.000020,SAT,1,0
c499.aag,glucose3,565,0.000019,SAT,1,0
c499.aag,glucose3,566,0.000021,SAT,1,0
c499.aag,glucose3,567,0.000021,SAT,1,0
c499.aag,glucose3,568,0.000021,SAT,1,0
c499.aag,glucose3,569,0.000020,SAT,1,0
c499.aag,glucose3,570,0.000021,SAT,1,0
c499.aag,glucose3,571,0.000020,SAT,1,0
c499.aag,glucose3,572,0.000020,SAT,1,0
c499.aag,glucose3,573,0.000020,SAT,1,0
c499.aag,glucose3,574,0.000022,SAT,1,0
c499.aag,glucose3,575,0.000023,SAT,1,0
c499.aag,glucose3,576,0.000021,SAT,1,0
c499.aag,glucose3,577,0.000022,SAT,1,0
c499.aag,glucose3,578,0.000023,SAT,1,0
c499.aag,glucose3,579,0.000021,SAT,1,0
c499.aag,glucose3,580,0.000021,SAT,1,0
c499.aag,glucose3,581,0.000021,SAT,1,0
c499.aag,glucose4,550,0.000045,SAT,1,0
c499.aag,glucose4,551,0.000020,SAT,1,0
c499.aag,glucose4,552,0.000018,SAT,1,0
c499.aag,glucose4,553,0.000021,SAT,1,0
c499.aag,glucose4,554,0.000021,SAT,1,0
c499.aag,glucose4,555,0.000020,SAT,1,0
c499.aag,glucose4,556,0.000021,SAT,1,0
c499.aag,glucose4,557,0.000020,SAT,1,0
c499.aag,glucose4,558,0.000014,SAT,1,0
c499.aag,glucose4,559,0.000013,SAT,1,0
c499.aag,glucose4,560,0.000015,SAT,1,0
c499.aag,glucose4,561,0.000015,SAT,1,0
c499.aag,glucose4,562,0.000014,SAT,1,0
c499.aag,glucose4,563,0.000014,SAT,1,0
c499.aag,glucose4,564,0.000014,SAT,1,0
c499.aag,glucose4,565,0.000014,SAT,1,0
c499.aag,glucose4,566,0.000014,SAT,1,0
c499.aag,glucose4,567,0.000014,SAT,1,0
c499.aag,glucose4,568,0.000014,SAT,1,0
c499.aag,glucose4,569,0.000014,SAT,1,0
c499.aag,glucose4,570,0.000014,SAT,1,0
c499.aag,glucose4,571,0.000014,SAT,1,0
c499.aag,glucose4,572,0.000013,SAT,1,0
